conflicted,experiment,gold_hops,id,native_original_prefixes,ordinal,original_request_sha256,question_id,r,run,step,trajectory_length,native_n,margin,likelihood,replica_margin_difference,input_tokens,answer_n,official_score,exact_match,f1,fallback_n,complete,mask,order,condition,introduced_hops,parent_state,preview_slots,package_ids,action
False,state_answers,3,state-r1-q000-t001,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-001/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-001/qwen-r2/native-s.request.json']",0,f7a85d15a26fba5065b70b91d6d1af367a58c3ddb524159dafae699a9c35121e,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,1,1,8,2,-4.75000009033829,0.0085774846454831,0.0,3741.0,5,0.0,0.0,0.0,0.0,True,,,,,,,[],"[""search""]"
False,state_answers,3,state-r1-q000-t002,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-002/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-002/qwen-r2/native-s.request.json']",0,4fd859686b4f9d307753de16d2fa85e36f1e931ea03d280b036c2ec1a8e44aa3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,1,2,8,2,1.6250000596046448,0.8354835452961425,0.0,8787.0,5,0.0,0.0,0.0,0.0,True,,,,,,,[],"[""read""]"
False,state_answers,3,state-r1-q000-t003,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-003/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-003/qwen-r2/native-s.request.json']",0,ecb53c9b126e563848ca024a9316cae6f6cad7c4f10d8f2d278e918eca3bf5ac,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,3,8,2,4.250000008381903,0.9859363730729768,0.0,14080.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""m-d378741b166342a8e5a0aca8""]","[""search""]"
False,state_answers,3,state-r1-q000-t004,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-004/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-004/qwen-r2/native-s.request.json']",0,59bfe5b58154a901ea7b76e54037f6ef2affa8f3713a48d83d6b52c8b0d5294b,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,4,8,2,2.312499973922968,0.9099070039003512,0.1249998435378074,9203.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""m-d378741b166342a8e5a0aca8""]","[""search""]"
False,state_answers,3,state-r1-q000-t005,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-005/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-005/qwen-r2/native-s.request.json']",0,ac898b2a4cdd4e0843e13d9e6433cd7a7a85942dfdd7241f914b6e444d4bd56d,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,5,8,2,1.0625000447034836,0.7431680171450046,0.1249999701976776,9456.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""m-d378741b166342a8e5a0aca8""]","[""read""]"
False,state_answers,3,state-r1-q000-t006,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-006/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-006/qwen-r2/native-s.request.json']",0,04c565d6ff3ea6aa7cd42a88926d54be61cd7c087667bc5105459e9229abe758,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,6,8,2,6.187500165018719,0.9979492567977998,0.12500006693881,19690.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""m-d378741b166342a8e5a0aca8"",""m-cbdf6a8153fd22ff0242fee9"",""m-879a81ce4bb890141c60d24f""]","[""search""]"
False,state_answers,3,state-r1-q000-t007,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-007/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-007/qwen-r2/native-s.request.json']",0,f5fe2357a3ed64ec5fdda5131a4f4e81e21564a777e7ea932b01d4fb378b3fb0,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,7,8,2,5.125000019092113,0.994088931255944,0.0,10215.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""m-d378741b166342a8e5a0aca8"",""m-cbdf6a8153fd22ff0242fee9"",""m-879a81ce4bb890141c60d24f""]","[""read""]"
False,state_answers,3,state-r1-q000-t008,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-008/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-008/qwen-r2/native-s.request.json']",0,6e34caa563be326f3480f3851ad4d415e6f834e6423c1fcf797411197ae62a02,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,8,8,2,6.749999854248017,0.9988304895646856,-4.656612873077393e-10,26068.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""m-d378741b166342a8e5a0aca8"",""m-cbdf6a8153fd22ff0242fee9"",""m-879a81ce4bb890141c60d24f""]","[""finish""]"
False,state_answers,3,state-r2-q000-t001,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-001/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-001/qwen-r2/native-s.request.json']",0,f7a85d15a26fba5065b70b91d6d1af367a58c3ddb524159dafae699a9c35121e,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,2,1,13,2,-4.624999990686774,0.0097084765710134,-3.110617399215698e-07,3741.0,5,0.0,0.0,0.0,0.0,True,,,,,,,[],"[""search""]"
False,state_answers,3,state-r2-q000-t002,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-002/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-002/qwen-r2/native-s.request.json']",0,435a41a531301c66433344c7f2673ebdd0109438f72653d1d3ffc8177fbd4204,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,2,2,13,2,0.9999999403953552,0.7310585669110203,0.0,8816.0,5,0.0,0.0,0.0,0.0,True,,,,,,,[],"[""read""]"
