schema_version,gold_definition,question_id,qa_pair_id,question_ordinal,decision_step,decision_state_count,normalized_progress,capture_id,action_tool_names,terminal_trajectory_status,gold_hop_count,covered_hop_count,gold_coverage_r,covered_hop_indices,missing_hop_indices,newly_available_hop_indices,cumulative_read_memory_count,cumulative_read_memory_ids,official_gold_lww_conflicted,final_official_score,final_correct,replica,j_sample_count,j_sufficient_count,j_insufficient_count,j_sufficient_fraction,native_sufficient_likelihood,native_sufficient_logprob,native_insufficient_logprob,native_logit_margin,native_margin_decision
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,1,6,0.16666666666666666,1789220509489085824-25d4717f595b4e3085cc740711b08108,"[""search""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,1.0,True,qwen-r1,101,98,3,0.9702970297029703,0.008577484645483137,-4.758800029754639,-0.008799939416348934,-4.75000009033829,insufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,1,6,0.16666666666666666,1789220509489085824-25d4717f595b4e3085cc740711b08108,"[""search""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,1.0,True,qwen-r2,101,94,7,0.9306930693069307,0.007577242454934549,-4.882781982421875,-0.007782140281051397,-4.874999842140824,insufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,2,6,0.3333333333333333,1789220517303787801-eee70b94a4ef4639bad11f19178e5b32,"[""read""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,1.0,True,qwen-r1,101,101,0,1.0,0.8519528038477825,-0.1602606624364853,-1.9102606773376465,1.7500000149011612,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,2,6,0.3333333333333333,1789220517303787801-eee70b94a4ef4639bad11f19178e5b32,"[""read""]",sufficient,3,0,0.0,[],"[1,2,3]",[],0,[],False,1.0,True,qwen-r2,101,101,0,1.0,0.8519528038477825,-0.1602606624364853,-1.9102606773376465,1.7500000149011612,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,3,6,0.5,1789220547001126380-2c1463d995e843188dde6813e1c45f54,"[""search""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],"[1,2]",3,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1""]",False,1.0,True,qwen-r1,101,101,0,1.0,0.9933071497536828,-0.006738083902746439,-5.006738185882568,5.000000101979822,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,3,6,0.5,1789220547001126380-2c1463d995e843188dde6813e1c45f54,"[""search""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],"[1,2]",3,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1""]",False,1.0,True,qwen-r2,101,101,0,1.0,0.9933071497536828,-0.006738083902746439,-5.006738185882568,5.000000101979822,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,4,6,0.6666666666666666,1789220566001823272-7bef4fd4657d4eb0b4187aa5d786a4c2,"[""read""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],3,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1""]",False,1.0,True,qwen-r1,101,101,0,1.0,0.9149009636941993,-0.08912528306245804,-2.464125394821167,2.375000111758709,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,4,6,0.6666666666666666,1789220566001823272-7bef4fd4657d4eb0b4187aa5d786a4c2,"[""read""]",sufficient,3,2,0.6666666666666666,"[1,2]",[3],[],3,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1""]",False,1.0,True,qwen-r2,101,100,1,0.9900990099009901,0.9046505357435624,-0.1004176065325737,-2.3504176139831543,2.2500000074505806,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,5,6,0.8333333333333334,1789220573328335073-94feac16425348879f108e2550346390,"[""read""]",sufficient,3,3,1.0,"[1,2,3]",[],[3],4,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-a1a4edfb7fb9ec1bee215e03""]",False,1.0,True,qwen-r1,101,100,1,0.9900990099009901,0.9740426420015996,-0.026313336566090584,-3.651313304901123,3.6249999683350325,sufficient
1,official_mquake_label_chain,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,5,6,0.8333333333333334,1789220573328335073-94feac16425348879f108e2550346390,"[""read""]",sufficient,3,3,1.0,"[1,2,3]",[],[3],4,"[""m-95bbccbd6a08d16d05369687"",""m-d378741b166342a8e5a0aca8"",""m-b7dcd8cd2d91e2a0530e94f1"",""m-a1a4edfb7fb9ec1bee215e03""]",False,1.0,True,qwen-r2,101,101,0,1.0,0.974042644968542,-0.026313219219446182,-3.651313304901123,3.625000085681677,sufficient
