conflicted,experiment,gold_hops,id,native_original_prefixes,ordinal,original_request_sha256,question_id,r,run,step,trajectory_length,native_n,margin,likelihood,replica_margin_difference,input_tokens,answer_n,official_score,exact_match,f1,fallback_n,complete,mask,order,condition,introduced_hops,parent_state,preview_slots,action,previous_margin,previous_r,previous_action,delta_margin,delta_r,normalized_progress,package_changed,support_gain,sufficiency_rise
False,state_answers,3,state-r1-q000-t002,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-002/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-002/qwen-r2/native-s.request.json']",0,4fd859686b4f9d307753de16d2fa85e36f1e931ea03d280b036c2ec1a8e44aa3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,1,2,8,2,1.6250000596046448,0.8354835452961425,0.0,8787.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""read""]",-4.75000009033829,0.0,"[""search""]",6.3750001499429345,0.0,0.14285714285714285,False,False,True
False,state_answers,3,state-r1-q000-t003,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-003/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-003/qwen-r2/native-s.request.json']",0,ecb53c9b126e563848ca024a9316cae6f6cad7c4f10d8f2d278e918eca3bf5ac,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,3,8,2,4.250000008381903,0.9859363730729768,0.0,14080.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""search""]",1.6250000596046448,0.0,"[""read""]",2.6249999487772584,0.3333333333333333,0.2857142857142857,True,True,True
False,state_answers,3,state-r1-q000-t004,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-004/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-004/qwen-r2/native-s.request.json']",0,59bfe5b58154a901ea7b76e54037f6ef2affa8f3713a48d83d6b52c8b0d5294b,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,4,8,2,2.312499973922968,0.9099070039003512,0.1249998435378074,9203.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""search""]",4.250000008381903,0.3333333333333333,"[""search""]",-1.9375000344589353,0.0,0.42857142857142855,False,False,False
False,state_answers,3,state-r1-q000-t005,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-005/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-005/qwen-r2/native-s.request.json']",0,ac898b2a4cdd4e0843e13d9e6433cd7a7a85942dfdd7241f914b6e444d4bd56d,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,5,8,2,1.0625000447034836,0.7431680171450046,0.1249999701976776,9456.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""read""]",2.312499973922968,0.3333333333333333,"[""search""]",-1.2499999292194843,0.0,0.5714285714285714,False,False,False
False,state_answers,3,state-r1-q000-t006,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-006/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-006/qwen-r2/native-s.request.json']",0,04c565d6ff3ea6aa7cd42a88926d54be61cd7c087667bc5105459e9229abe758,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,6,8,2,6.187500165018719,0.9979492567977998,0.12500006693881,19690.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""search""]",1.0625000447034836,0.3333333333333333,"[""read""]",5.125000120315235,0.0,0.7142857142857143,True,False,True
False,state_answers,3,state-r1-q000-t007,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-007/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-007/qwen-r2/native-s.request.json']",0,f5fe2357a3ed64ec5fdda5131a4f4e81e21564a777e7ea932b01d4fb378b3fb0,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,7,8,2,5.125000019092113,0.994088931255944,0.0,10215.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""read""]",6.187500165018719,0.3333333333333333,"[""search""]",-1.062500145926606,0.0,0.8571428571428571,False,False,False
False,state_answers,3,state-r1-q000-t008,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-008/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-20260912/probes-v2/0b674be0109c/step-008/qwen-r2/native-s.request.json']",0,6e34caa563be326f3480f3851ad4d415e6f834e6423c1fcf797411197ae62a02,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.3333333333333333,1,8,8,2,6.749999854248017,0.9988304895646856,-4.656612873077393e-10,26068.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""finish""]",5.125000019092113,0.3333333333333333,"[""read""]",1.6249998351559043,0.0,1.0,False,False,True
False,state_answers,3,state-r2-q000-t002,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-002/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-002/qwen-r2/native-s.request.json']",0,435a41a531301c66433344c7f2673ebdd0109438f72653d1d3ffc8177fbd4204,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.0,2,2,13,2,0.9999999403953552,0.7310585669110203,0.0,8816.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""read""]",-4.624999990686774,0.0,"[""search""]",5.6249999310821295,0.0,0.08333333333333333,False,False,True
False,state_answers,3,state-r2-q000-t003,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-003/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-003/qwen-r2/native-s.request.json']",0,7c358aed3d6a93233b05b6edbf82d547854a23ee2170d54ddc40dede5fee9ee2,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.6666666666666666,2,3,13,2,4.750000141561031,0.9914225157901104,0.0,19116.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""search""]",0.9999999403953552,0.0,"[""read""]",3.750000201165676,0.6666666666666666,0.16666666666666666,True,True,True
False,state_answers,3,state-r2-q000-t004,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-004/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-004/qwen-r2/native-s.request.json']",0,cfc84bb2ef82c9ec23b4f93b421d7738b1cc3b014c765fa7653a95e38e2af152,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.6666666666666666,2,4,13,2,2.8749999180436134,0.9465966660571644,0.0,9278.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""read""]",4.750000141561031,0.6666666666666666,"[""search""]",-1.875000223517418,0.0,0.25,False,False,False
False,state_answers,3,state-r2-q000-t005,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-005/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-005/qwen-r2/native-s.request.json']",0,d96e6b6208fb0d759487b6567d05d619659dcdae49967bf5abf6ab2107577e3b,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.6666666666666666,2,5,13,2,2.9374999906867743,0.9496693669573744,0.1249999292194843,14329.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""search""]",2.8749999180436134,0.6666666666666666,"[""read""]",0.06250007264316082,0.0,0.3333333333333333,True,False,True
False,state_answers,3,state-r2-q000-t006,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-006/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-006/qwen-r2/native-s.request.json']",0,37fa5f169d580d62e84422f148c910101cf7e27c52b5a181f4e3f0f2fc46ccbb,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.6666666666666666,2,6,13,2,1.6249999552965164,0.8354835309589073,0.0,9537.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""read""]",2.9374999906867743,0.6666666666666666,"[""search""]",-1.3125000353902578,0.0,0.4166666666666667,False,False,False
False,state_answers,3,state-r2-q000-t007,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-007/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-007/qwen-r2/native-s.request.json']",0,3a76ba13713f8d468283ba666b1ed5ffb3676b3cd1eda014fdbae996d52433f0,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.6666666666666666,2,7,13,2,3.624999933876097,0.9740426411303548,-5.0291419029235846e-08,24632.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""search""]",1.6249999552965164,0.6666666666666666,"[""read""]",1.9999999785795808,0.0,0.5,True,False,True
False,state_answers,3,state-r2-q000-t008,"['/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-008/qwen-r1/native-s.request.json', '/data/zhaogangyi/picorer-eval/qwen36-v100-sufficiency-dynamics-replicate-2-20260912/probes-v2/0b674be0109c/step-008/qwen-r2/native-s.request.json']",0,da64500eac282dce11e666a19d070ad86066e0576f10937e01e4baccb1c10769,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,0.6666666666666666,2,8,13,2,2.624999947845936,0.932453305575492,0.0,10292.0,5,0.0,0.0,0.0,0.0,True,,,,,,,"[""read""]",3.624999933876097,0.6666666666666666,"[""search""]",-0.9999999860301614,0.0,0.5833333333333334,False,False,False
