question_id,event,delta_margin,positive_shift,rounds
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,Gold-evidence gain,2.88541672572804,1.0,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,No gold-evidence gain,1.2948232035862866,0.601010101010101,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,Gold-evidence gain,1.8020834588824073,0.6666666666666666,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,No gold-evidence gain,3.527777814193137,0.8888888888888888,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,Gold-evidence gain,3.666666721672906,1.0,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,No gold-evidence gain,2.171875015806614,0.8611111111111112,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,Gold-evidence gain,1.4270833253394812,0.6666666666666666,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,No gold-evidence gain,-0.024012457914005376,0.393939393939394,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,Gold-evidence gain,4.020833351988888,1.0,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,No gold-evidence gain,5.541666785565515,0.8333333333333334,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,Gold-evidence gain,2.6354165804271665,0.6666666666666666,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,No gold-evidence gain,3.322916708110521,0.8333333333333334,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,Gold-evidence gain,4.374999912744291,1.0,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,No gold-evidence gain,5.388888908828246,0.8888888888888888,3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,Gold-evidence gain,3.7916667411336675,1.0,3
