schema_version,question_id,qa_pair_id,question_ordinal,hop_index,gold_hop_count,gold_statement,gold_raw_fact,gold_serial_number,acquired_by_read,first_read_action_state,first_available_decision_state,matching_read_memory_ids,official_gold_lww_conflicted
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,1,3,Christian Abbiati plays the position of cornerback,10906. Christian Abbiati plays the position of cornerback.,10906,True,2,3,"[""m-d378741b166342a8e5a0aca8""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,2,3,cornerback is associated with the sport of field hockey,7164. cornerback is associated with the sport of field hockey.,7164,True,2,3,"[""m-b7dcd8cd2d91e2a0530e94f1""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,factconsolidation_mh_262k_no0,0,3,3,field hockey was created in the country of Philippines,7774. field hockey was created in the country of Philippines.,7774,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,factconsolidation_mh_262k_no1,1,1,2,Karl Lueger is a citizen of Lordship of Ireland,9973. Karl Lueger is a citizen of Lordship of Ireland.,9973,True,2,3,"[""m-1d5745d8b432a6047b4dd936""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,factconsolidation_mh_262k_no1,1,2,2,Lordship of Ireland is affiliated with the religion of atheism,16142. Lordship of Ireland is affiliated with the religion of atheism.,16142,True,4,5,"[""m-0b1100aa2215e071bf08a812""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,factconsolidation_mh_262k_no2,2,1,4,The author of American Pastoral is F. Scott Fitzgerald,10793. The author of American Pastoral is F. Scott Fitzgerald.,10793,True,2,3,"[""m-d378741b166342a8e5a0aca8""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,factconsolidation_mh_262k_no2,2,2,4,F. Scott Fitzgerald is married to Zelda Fitzgerald,8453. F. Scott Fitzgerald is married to Zelda Fitzgerald.,8453,True,15,16,"[""m-aff4df280c82222c41cd9dbd""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,factconsolidation_mh_262k_no2,2,3,4,Zelda Fitzgerald is a citizen of Australia,10172. Zelda Fitzgerald is a citizen of Australia.,10172,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,factconsolidation_mh_262k_no2,2,4,4,Australia is located in the continent of Oceania,2465. Australia is located in the continent of Oceania.,2465,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,factconsolidation_mh_262k_no3,3,1,2,The origianl broadcaster of Your Hit Parade is NBC,6274. The origianl broadcaster of Your Hit Parade is NBC.,6274,True,2,3,"[""m-764a735eb863dbf0706b046a""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,factconsolidation_mh_262k_no3,3,2,2,NBC was founded in the city of Paris,8147. NBC was founded in the city of Paris.,8147,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,factconsolidation_mh_262k_no4,4,1,2,Valmiki is famous for Ramayana,11280. Valmiki is famous for Ramayana.,11280,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,factconsolidation_mh_262k_no4,4,2,2,Ramayana was written in the language of English,12454. Ramayana was written in the language of English.,12454,True,6,7,"[""m-b4f7617ddfde634fb0ac7372""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no5,factconsolidation_mh_262k_no5,5,1,4,The chief executive officer of CBS Corporation is Les Moonves,352. The chief executive officer of CBS Corporation is Les Moonves.,352,True,2,3,"[""m-9c66a5ec4a759d8795c58788""]",False
