question_id,run,gold_hops,threshold,t_s,t_r,lead_steps,category,has_later_state_after_t_s,reversal_after_t_s,persistence_ratio,answer_accuracy_at_t_s,answer_accuracy_at_t_r
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,1,3,0.5,2.0,,,S observed; R not observed,True,False,1.0,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,2,3,0.5,2.0,,,S observed; R not observed,True,False,1.0,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,3,3,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,1,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,2,2,0.5,2.0,5.0,3.0,S before R,True,True,0.75,0.0,0.6
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no1,3,2,0.5,2.0,4.0,2.0,S before R,True,False,1.0,0.0,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,1,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,2,2,0.5,2.0,,,S observed; R not observed,True,False,1.0,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,3,2,0.5,2.0,,,S observed; R not observed,True,False,1.0,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,1,2,0.5,2.0,4.0,2.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,2,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no13,3,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,1,2,0.5,2.0,3.0,1.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,2,2,0.5,2.0,6.0,4.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no14,3,2,0.5,2.0,3.0,1.0,S before R,True,False,1.0,0.0,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,1,2,0.5,2.0,4.0,2.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,2,2,0.5,2.0,4.0,2.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no15,3,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,1,2,0.5,2.0,3.0,1.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,2,2,0.5,2.0,3.0,1.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no21,3,2,0.5,2.0,3.0,1.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,1,3,0.5,2.0,,,S observed; R not observed,True,True,0.625,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,2,3,0.5,2.0,,,S observed; R not observed,True,False,1.0,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no22,3,3,0.5,2.0,,,S observed; R not observed,True,False,1.0,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,1,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no23,2,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,1.0
