question_id,gold_hops,r,likelihood,margin,official_score,exact_match
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,0.0,0.02036968427489405,-3.8750000246800482,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,0.25,0.20113850861693824,-2.2890624639112502,0.22499999999999998,0.22499999999999998
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,0.5,0.5789655370950632,0.26562499239419896,0.65,0.65
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,0.75,0.8875965775881677,2.484374977997504,0.85,0.85
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,4,1.0,0.9981875977060493,8.000000105181243,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,0.0,0.00141889289589035,-6.625000049956725,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,0.3333333333333333,0.3348377717902837,-1.3645833392317097,0.3666666666666667,0.3
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,0.6666666666666666,0.9100475569463016,3.177083335390004,0.6666666666666666,0.6666666666666666
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,3,1.0,0.9999638467200034,11.3437500012991,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,4,0.0,0.00888523449723885,-4.718749943422154,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,4,0.25,0.2905132196491593,-1.9062499976425897,0.375,0.375
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,4,0.5,0.654575198073438,1.1458333258827527,0.6666666666666666,0.6666666666666666
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,4,0.75,0.9019202430767831,3.890625004270987,0.975,0.975
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no16,4,1.0,0.9997555758704016,8.750000257527063,1.0,0.9
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,3,0.0,0.008510502586692,-4.781249895808287,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,3,0.3333333333333333,0.05188079200899187,-3.8020833077219627,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,3,0.6666666666666666,0.5150949157021244,0.010416652696828047,0.2333333333333333,0.2333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no17,3,1.0,0.9618560054287799,3.2812500270083547,0.9,0.9
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,4,0.0,0.00409701653665595,-5.750000079919118,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,4,0.25,0.3496165814205623,-1.781250035521225,0.175,0.175
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,4,0.5,0.7087612186327759,1.1458333261931937,0.6333333333333333,0.6333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,4,0.75,0.9544254760949561,3.6953125351137714,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no18,4,1.0,0.9997594295789134,9.187500174185516,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,4,0.0,0.0059224135051227506,-5.12499998207204,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,4,0.25,0.48393619742863764,-0.6249999954015948,0.45,0.425
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,4,0.5,0.8556951549156288,2.4218750174622983,0.85,0.85
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,4,0.75,0.9937080985060142,6.0781249698306965,0.85,0.85
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no19,4,1.0,0.9999902516745106,12.624999910716838,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,4,0.0,0.0090668836100612,-4.874999946681783,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,4,0.25,0.21114822620882673,-2.562500040687155,0.275,0.275
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,4,0.5,0.6391349587175231,0.7916666530072689,0.5333333333333333,0.5166666666666667
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,4,0.75,0.9707350623563935,4.007812550786184,0.75,0.75
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no2,4,1.0,0.9997016229072312,8.37499970774661,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,3,0.0,0.0120147205902595,-4.625000056577846,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,3,0.3333333333333333,0.474914083343054,-0.4270833445092043,0.09999999999999999,0.09999999999999999
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,3,0.6666666666666666,0.9214506992932846,3.0937499946060902,0.6666666666666666,0.6666666666666666
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no20,3,1.0,0.9999857964023331,11.312500298258328,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,4,0.0,0.0189448571940746,-4.125000014901161,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,4,0.25,0.3675851712951958,-1.3906250041909516,0.15000000000000002,0.15000000000000002
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,4,0.5,0.7434879159801593,1.359375000776102,0.43333333333333335,0.43333333333333335
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,4,0.75,0.9674015469326178,4.007812454816303,0.75,0.75
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no25,4,1.0,0.9998399337613428,10.124999787859451,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,4,0.0,0.01290844359786325,-4.4687500012805685,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,4,0.25,0.33204619656787293,-1.6171874945866875,0.2,0.2
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,4,0.5,0.6345351085727078,0.6250000015522043,0.5666666666666668,0.5666666666666668
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,4,0.75,0.9318203728995659,3.1406249858846422,0.75,0.75
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no27,4,1.0,0.9993353811172261,7.593750024410838,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,3,0.0,0.0045827362552858,-5.500000139523763,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,3,0.3333333333333333,0.5546324442018741,0.05208334450920423,0.3333333333333333,0.3333333333333333
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,3,0.6666666666666666,0.9557467685372352,3.7499999605546086,0.6666666666666666,0.6666666666666666
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no33,3,1.0,0.9998970628783046,9.24999988736272,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,4,0.0,0.00906688262508,-4.875000052154064,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,4,0.25,0.29132664769802347,-1.7265624392894097,0.325,0.30000000000000004
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,4,0.5,0.7113069608211687,1.3697916775709018,0.65,0.65
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,4,0.75,0.9584564650304781,3.890625047701178,0.875,0.875
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,4,1.0,0.9997706276613263,8.50000006493974,1.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,4,0.0,0.01252528479556295,-4.374999979510903,0.0,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,4,0.25,0.1547842642184593,-2.671875011816155,0.35,0.35
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,4,0.5,0.5235792411021172,-0.02604166480402152,0.7333333333333334,0.7333333333333334
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,4,0.75,0.9080567510052969,2.8125000084983185,0.975,0.975
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no36,4,1.0,0.9998185570806533,9.250000029454895,1.0,1.0
