question_id,incomplete_correct,full_correct,paired_difference
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no0,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no10,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no11,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no12,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,True,True,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no24,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no3,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no31,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no35,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no4,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,True,True,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,True,True,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,False,True,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,False,False,0.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no78,False,True,1.0
